"IDENTIFIANT";"NDEG_FINESS_RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
"4700022472022";"470002247";"2022";;;;;;;;;;;;;;1;1;1;;;;1;;;;;;
"4700040942023";"470004094";"2023";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"4700041022022";"470004102";"2022";;;;;;;;;;;;;;1;;1;;1;;1;;1;;;;
"4700041022023";"470004102";"2023";;;;;;;;;;;;;;1;;;;;;;;1;;;;
"4700053722021";"470005372";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"4700053982023";"470005398";"2023";;;;;;;;;;;;;;1;;;;1;;;;;;;;
"4700054062022";"470005406";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"4700081862022";"470008186";"2022";1;;1;;1;;;;;;;;;;;;;;;;;;;;;
"4700086992023";"470008699";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"4700087152021";"470008715";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4700087152023";"470008715";"2023";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"4700087232022";"470008723";"2022";;;;;;;;;;;;;;1;;;;;;;1;;;;1;
"4700087492022";"470008749";"2022";;;;;;;;;;;;;;2;1;;;;;1;;;;;;
"4700087492023";"470008749";"2023";1;1;1;;;;;;;;;;;;;;;;;;;;;;;
"4700087562021";"470008756";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"4700087562023";"470008756";"2023";;;;;;;;;;;;;;1;;;1;1;;;;;;;;
"4700087722021";"470008772";"2021";;;;;;;;;;;;;;1;;;1;1;;;;;;;;
"4700087722022";"470008772";"2022";1;;;1;1;;;;;;;;;;;;;;;;;;;;;
"4700088222022";"470008822";"2022";;;;;;;;;;;;;;1;1;1;;1;;;;;;;;
"4700093412024";"470009341";"2024";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4700096482022";"470009648";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"4700097052023";"470009705";"2023";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4700097392021";"470009739";"2021";;;;;;;;;;;;;;1;1;1;;;;;;;;;;
"4700097472021";"470009747";"2021";;;;;;;;;;;;;;2;2;;;;;;;;;;;
"4700097962023";"470009796";"2023";1;;1;;;;1;;;;;;;;;;;;;;;;;;;
"4700110732022";"470011073";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;
"4700132852022";"470013285";"2022";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"4700132852023";"470013285";"2023";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4700135662023";"470013566";"2023";2;;1;;2;;;;;;;;;1;;;;;;;;1;;;;
"4700142752023";"470014275";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"4700142832021";"470014283";"2021";;;;;;;;;;;;;;2;1;;;;;;;;;;;1
"4700142832022";"470014283";"2022";;;;;;;;;;;;;;2;1;2;;1;;1;;;;;;
"4700142832023";"470014283";"2023";1;1;1;;;;1;;;;;;;;;;;;;;;;;;;
"4700143332021";"470014333";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"4700143332022";"470014333";"2022";;;;;;;;;;;;;;1;;;;;;1;1;;;;;
"4700145152023";"470014515";"2023";1;1;;1;1;;1;;;;;;;;;;;;;;;;;;;
"4700160312023";"470016031";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4700162132024";"470016213";"2024";1;;1;;1;;;;;;;;;;;;;;;;;;;;;
"4700173282021";"470017328";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;1
"4800000172021";"480000017";"2021";3;;;1;;;;;;;;;2;8;;;2;;;4;3;;;;;3
"4800000172022";"480000017";"2022";;;;;;;;;;;;;;7;;;4;;;2;;1;;;;
"4800000172023";"480000017";"2023";2;;1;2;;;;;;;;;;4;;;4;;;1;;;;;;
"4800000172024";"480000017";"2024";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4800000332022";"480000033";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"4800000582022";"480000058";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"4800000582023";"480000058";"2023";2;;;1;;;1;;;;;;;1;;;1;;;;;;;;;
"4800000582024";"480000058";"2024";1;;;;;;;;;;;;;;;;;;;;;;;;;
"4800000662021";"480000066";"2021";;;;;;;;;;;;;;1;;1;1;;;;;;;;;
"4800000742023";"480000074";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4800011302022";"480001130";"2022";1;1;1;;1;;1;;;;;;;;;;;;;;;;;;;
"4800013202023";"480001320";"2023";1;;1;;;;;1;;;;;;;;;;;;;;;;;;
"4800016352021";"480001635";"2021";1;;1;1;;;;;;;;;1;;;;;;;;;;;;;
"4807800482022";"480780048";"2022";1;;;;;;;;1;;;;;;;;;;;;;;;;;
"4807802872021";"480780287";"2021";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"4807803292022";"480780329";"2022";2;;2;;2;;2;1;;;;;2;;;;;;;;;;;;;
"4807804772021";"480780477";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4807805272021";"480780527";"2021";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"4807806592022";"480780659";"2022";1;1;;;;;;1;;;;;;;;;;;;;;;;;;
"4807807412021";"480780741";"2021";;;;;;;;;;;;;;1;;;;;;;;1;;;;
"4807808322021";"480780832";"2021";1;1;;1;;;1;;;;;;;;;;;;;;;;;;;
"4807832162021";"480783216";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4807832402023";"480783240";"2023";1;;1;;;;;1;;;;;;;;;;;;;;;;;;
"4900000492021";"490000049";"2021";3;;;3;;;;;;;;;;12;;1;7;;1;;;;;;;3
"4900000492022";"490000049";"2022";10;;1;6;2;1;1;1;;;;;;10;2;;7;;;1;;;;;;1
"4900000492023";"490000049";"2023";4;;;4;;;;;;;;;;;;;;;;;;;;;;
"4900001062021";"490000106";"2021";2;;1;1;;;;;;;;;;4;2;;1;;;;;;;;1;
"4900001062022";"490000106";"2022";1;;;1;1;;;;;;;;;3;;;1;;;;;;;;2;
"4900001062023";"490000106";"2023";2;1;;1;;;;1;;;;;;;;;;;;;;;;;;
"4900001552022";"490000155";"2022";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"4900002472021";"490000247";"2021";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"4900002622022";"490000262";"2022";2;;1;;;;1;;;;;1;;;;;;;;;;;;;;
"4900002622023";"490000262";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"4900003382022";"490000338";"2022";;;;;;;;;;;;;;1;;;1;1;;;1;;;;;
"4900004782021";"490000478";"2021";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"4900004782022";"490000478";"2022";2;;1;;;;;;1;;;;;;;;;;;;;;;;;
"4900004942022";"490000494";"2022";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4900005362023";"490000536";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4900006012023";"490000601";"2023";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"4900006352021";"490000635";"2021";1;;;;;;;1;;;;;;3;;;1;2;;1;;;;;;
"4900006352022";"490000635";"2022";1;;;1;1;;;;;;;;;3;1;;1;;;1;;;;;;
"4900006352023";"490000635";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"4900006432021";"490000643";"2021";;;;;;;;;;;;;;1;;;;1;;;;;;;;
"4900007752021";"490000775";"2021";1;;;1;;;;1;;;;;;;;;;;;;;;;;;
"4900007912022";"490000791";"2022";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"4900008172022";"490000817";"2022";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"4900008582021";"490000858";"2021";2;;;;;;;;;;;;2;1;;;;;;;;;;;;1
"4900017652021";"490001765";"2021";;;;;;;;;;;;;;2;;;;1;;;1;;;;;
"4900017652022";"490001765";"2022";4;1;;1;;;2;1;;;;;;2;;;2;;;1;1;;;;;
"4900017652023";"490001765";"2023";2;;;1;;;1;;;;;;;;;;;;;;;;;;;
"4900020372021";"490002037";"2021";2;;;;;;;;1;;;;1;2;;;1;;;;;;;;;1
"4900020372022";"490002037";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"4900020862021";"490002086";"2021";2;;1;;1;;;;;;;;;1;;;;;;;;;;;;1
"4900020862022";"490002086";"2022";2;;;;;;;;;;;;2;;;;;;;;;;;;;
"4900020862023";"490002086";"2023";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"4900021102021";"490002110";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4900021362022";"490002136";"2022";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"4900021692023";"490002169";"2023";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"4900021852022";"490002185";"2022";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4900022352021";"490002235";"2021";;;;;;;;;;;;;;1;;;;1;;;;;;;;
"4900022682022";"490002268";"2022";3;1;1;;1;;1;1;;;;;;;;;;;;;;;;;;
"4900022682023";"490002268";"2023";1;1;;;1;;;;;;;;;;;;;;;;;;;;;
"4900022922022";"490002292";"2022";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"4900023002022";"490002300";"2022";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"4900023832021";"490002383";"2021";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"4900024332021";"490002433";"2021";1;;;;1;;;;;;;;1;;;;;;;;;;;;;
"4900024412021";"490002441";"2021";1;;;;;;;;;;;1;;1;;;;;;;;;;;1;
"4900024412022";"490002441";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"4900024582021";"490002458";"2021";1;;1;;1;;1;;;;;;1;;;;;;;;;;;;;
"4900027482021";"490002748";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"4900027552022";"490002755";"2022";;;;;;;;;;;;;;1;;;;;;;;1;;;;
"4900027632022";"490002763";"2022";;;;;;;;;;;;;;2;;;;;;1;;;;;1;
"4900027632023";"490002763";"2023";1;;;;;;;1;;;;;;;;;;;;;;;;;;
"4900027892022";"490002789";"2022";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4900028052022";"490002805";"2022";1;;1;;;;;;;;;;;1;;;;;;;1;;;;;
"4900028212021";"490002821";"2021";;;;;;;;;;;;;;1;;1;1;;;;;;;;;
"4900028472021";"490002847";"2021";1;;;;;;;;;;;;1;1;;;;;;;;;;;;1
"4900028472022";"490002847";"2022";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"4900028542021";"490002854";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4900028882022";"490002888";"2022";2;;;1;1;;;;;;;;;;;;;;;;;;;;;
"4900028962021";"490002896";"2021";1;;;;;;;;;;;;1;1;;;;;;;;;;;;1
"4900029042022";"490002904";"2022";2;1;;;2;;;;;;;;;;;;;;;;;;;;;
"4900029202021";"490002920";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4900029462022";"490002946";"2022";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4900029532021";"490002953";"2021";;;;;;;;;;;;;;1;1;;;1;;;;;;;;
"4900029612022";"490002961";"2022";1;1;;;1;;;;;;;;;2;1;2;;;;;;;;;;
"4900029792022";"490002979";"2022";1;;;;;;;1;;;;;;;;;;;;;;;;;;
"4900030272022";"490003027";"2022";1;;;1;1;;;;;;;;;;;;;;;;;;;;;
"4900032252021";"490003225";"2021";1;;;;1;;;;;;;;;1;;;;1;;1;;;;;;
"4900032252023";"490003225";"2023";1;;;;1;;1;;;;;;;;;;;;;;;;;;;
"4900036472021";"490003647";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4900036542023";"490003654";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4900036622021";"490003662";"2021";1;;;1;1;;;;;;;;;;;;;;;;;;;;;
"4900037612022";"490003761";"2022";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"4900037952022";"490003795";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"4900038292021";"490003829";"2021";;;;;;;;;;;;;;2;1;;;1;;1;;;;;;1
"4900038292023";"490003829";"2023";2;1;1;;;;1;;;;;;;;;;;;;;;;;;;
"4900038372021";"490003837";"2021";1;;;;;;;;1;;;;;;;;;;;;;;;;;
"4900039852021";"490003985";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4900074322021";"490007432";"2021";4;;;;;;;;;;;;4;;;;;;;;;;;;;
"4900074812021";"490007481";"2021";2;;2;;;;;;;;;;;;;;;;;;;;;;;
"4900074812022";"490007481";"2022";2;;1;;1;;;;;;;;;;;;;;;;;;;;;
"4900075562021";"490007556";"2021";1;;;;;;;;1;;;;;1;;;;1;;;;;;;;
"4900075562023";"490007556";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4900079292022";"490007929";"2022";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4900083982021";"490008398";"2021";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"4900098002022";"490009800";"2022";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"4900122672021";"490012267";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"4900137782023";"490013778";"2023";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"4900149092021";"490014909";"2021";1;;;;;;;;1;;;;;2;;;;;;;;;;;;2
"4900149092022";"490014909";"2022";1;;1;;;;;;;;;;;1;;;;;;;;1;;;;
"4900149092023";"490014909";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"4900155832021";"490015583";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"4900155832022";"490015583";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4900159062021";"490015906";"2021";;;;;;;;;;;;;;5;;1;1;;;1;;1;;;;1
"4900159062022";"490015906";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4900165242021";"490016524";"2021";;;;;;;;;;;;;;1;1;;;1;;;;;;;;
"4900167482022";"490016748";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"4900168702021";"490016870";"2021";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"4900174802022";"490017480";"2022";;;;;;;;;;;;;;1;;;;;;;;1;;;;
"4900196682022";"490019668";"2022";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"4900196682023";"490019668";"2023";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"4900196762021";"490019676";"2021";;;;;;;;;;;;;;1;;;1;1;;;;;;;;
"4900202372023";"490020237";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"4905308962021";"490530896";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4905309872022";"490530987";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"4905320822022";"490532082";"2022";;;;;;;;;;;;;;1;;;;1;;;;;;;;
"4905320902021";"490532090";"2021";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"4905321652021";"490532165";"2021";1;;;;;1;;;;;;;;1;;;1;;;;1;;;;;
"4905321652023";"490532165";"2023";1;;1;;1;;;;;;;;;;;;;;;;;;;;;
"4905343512022";"490534351";"2022";;;;;;;;;;;;;;1;;;;;;;;1;;;;
"4905356482022";"490535648";"2022";2;;1;;1;;;;;;;;;1;;;;1;;;;;;;;
"4905357622023";"490535762";"2023";1;;;;1;;1;;;;;;;;;;;;;;;;;;;
"4905360832021";"490536083";"2021";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"4905361412021";"490536141";"2021";2;;;;;;;2;;;;;;;;;;;;;;;;;;
"4905361412022";"490536141";"2022";;;;;;;;;;;;;;2;;2;;;;;;;;;;1
"4905361822022";"490536182";"2022";1;;1;;1;;;;;;;;;;;;;;;;;;;;;
"4905373702023";"490537370";"2023";1;;1;1;;1;1;;;;;;;;;;;;;;;;;;;
"4905391862022";"490539186";"2022";1;;;;1;;1;;;;;;;;;;;;;;;;;;;
"4905392362021";"490539236";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"4905393922021";"490539392";"2021";7;;;;;;;;;;;;7;;;;;;;;;;;;;
"4905426442022";"490542644";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"4905429822021";"490542982";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"4905442442021";"490544244";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"4905442442022";"490544244";"2022";;;;;;;;;;;;;;1;;;;1;;;;;;;;
"5000000212021";"500000021";"2021";1;;;;;;;;;;;;1;2;;;2;;;;;;;;;
"5000000212022";"500000021";"2022";;;;;;;;;;;;;;7;;;3;;;3;;;;;;1
"5000000212023";"500000021";"2023";3;;;3;;;1;1;;;;;;2;;1;1;;;;;;;;;
"5000000882021";"500000088";"2021";;;;;;;;;;;;;;2;;;2;;;2;;;;;;
"5000000882022";"500000088";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000000882023";"500000088";"2023";2;;1;;;;;;;;;;;;;;;;;;;;;;;
"5000001462021";"500000146";"2021";1;;;1;;;;;;;;;;1;1;;;;;;;;;;;
"5000001462022";"500000146";"2022";1;;;1;;;;;;;;;;2;;;2;;;;;;;;;
"5000001872021";"500000187";"2021";1;;;;;;;;;;;1;;3;;1;3;;;;;;;;;
"5000001872022";"500000187";"2022";1;;1;;;1;;;;;;;;7;;1;2;;1;;;;;;1;2
"5000001872023";"500000187";"2023";4;2;2;3;;;;;;;;;;5;;1;4;;;;;;;;;
"5000002032022";"500000203";"2022";;;;;;;;;;;;;;2;;;;;;2;;;;;;
"5000002032023";"500000203";"2023";4;1;;3;;;;;;;;;;1;1;;;1;;;;;;;;1
"5000002292022";"500000229";"2022";2;;;2;;;1;;;;;;;3;;;1;;;;;;1;;1;
"5000002372021";"500000237";"2021";;;;;;;;;;;;;;1;;;;;1;1;;;;;;
"5000002372022";"500000237";"2022";2;2;;;;;;;;;;;;7;6;;;;;1;;;;;;
"5000002372023";"500000237";"2023";;;;;;;;;;;;;;3;2;1;;;;;;;;;;
"5000002522021";"500000252";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"5000002522022";"500000252";"2022";2;1;1;;;;1;;;;;;;4;3;;1;;;;;;;;;
"5000002522023";"500000252";"2023";2;1;;;;;;;;;;1;;3;3;;;;;;;;;;;
"5000002522024";"500000252";"2024";;;;;;;;;;;;;;1;1;1;;;1;;;;;;;
"5000002602022";"500000260";"2022";;;;;;;;;;;;;;4;1;;2;;1;;;;;;;
"5000002602023";"500000260";"2023";;;;;;;;;;;;;;3;;;3;;;;;;;;;
"5000002862022";"500000286";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"5000002862023";"500000286";"2023";5;;2;;;1;;;;;;;;1;;;;;;;;;;;;
"5000002942021";"500000294";"2021";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"5000002942022";"500000294";"2022";;;;;;;;;;;;;;3;;1;1;;;;;1;;;;
"5000002942023";"500000294";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"5000003022023";"500000302";"2023";3;1;;2;;;;;;;;;;;;;;;;;;;;;;
"5000003102022";"500000310";"2022";;;;;;;;;;;;;;2;;2;;;;;;;;;;
"5000003102023";"500000310";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"5000003362021";"500000336";"2021";;;;;;;;;;;;;;6;1;2;1;;;;;;;;3;
"5000003362022";"500000336";"2022";;;;;;;;;;;;;;6;;3;3;1;;1;;;;;1;1
"5000003362023";"500000336";"2023";4;1;1;;;1;;;;;;1;;9;;4;;;;;1;;;;5;
"5000003362024";"500000336";"2024";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000003442021";"500000344";"2021";;;;;;;;;;;;;;2;;1;;;;1;1;;;;;
"5000003442022";"500000344";"2022";;;;;;;;;;;;;;2;;1;;;;;;;;;1;
"5000003442023";"500000344";"2023";1;;1;;1;;;;;;;;;1;;;;;;1;;;;;;
"5000003512021";"500000351";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000003512022";"500000351";"2022";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"5000003512023";"500000351";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000003772022";"500000377";"2022";;;;;;;;;;;;;;2;;;;;1;1;;;;;;1
"5000003772023";"500000377";"2023";4;1;;;1;;;;;;;1;;1;1;;;;;;;;;;;
"5000003852022";"500000385";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000004012022";"500000401";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"5000004012023";"500000401";"2023";1;1;;1;;;;;;;;;;;;;;;;;;;;;;
"5000004192023";"500000419";"2023";1;;;1;1;;;1;;;;;;;;;;;;;;;;;;
"5000004272021";"500000427";"2021";1;;1;1;;;;;;;;;;;;;;;;;;;;;;
"5000004272023";"500000427";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"5000004502021";"500000450";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"5000004502022";"500000450";"2022";2;;;2;;;;;;;;;;10;2;;7;;;2;;;;;;1
"5000004502023";"500000450";"2023";10;2;3;8;;;;;;;;;;5;;1;4;;;1;;;;;;
"5000004682022";"500000468";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"5000004922023";"500000492";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000005752022";"500000575";"2022";;;;;;;;;;;;;;4;;;3;;;1;1;;;;;
"5000005752023";"500000575";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"5000005912022";"500000591";"2022";;;;;;;;;;;;;;2;;;1;;;;;;;;1;
"5000005912023";"500000591";"2023";3;;;2;;;;;;;;1;;2;1;;;;;1;;;;;;
"500000902023";"50000090";"2023";;;;;;;;;;;;;;2;;1;;;;;1;1;;;;
"500002312023";"50000231";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000023322021";"500002332";"2021";1;;;;;;1;;;;;;;1;;1;;;;;;;;;;
"5000023322022";"500002332";"2022";;;;;;;;;;;;;;3;;1;;;;2;;;;;;
"5000023572022";"500002357";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"5000023572023";"500002357";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"5000024312021";"500002431";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"5000024312022";"500002431";"2022";;;;;;;;;;;;;;3;1;1;;;;1;;;;;2;
"5000024312023";"500002431";"2023";1;;;;;;;;;;;;;1;;1;;1;;;;;;;;
"5000026702022";"500002670";"2022";;;;;;;;;;;;;;2;;1;1;;1;;;;;;;
"5000026702023";"500002670";"2023";2;;;;;;;;;;;;;;;;;;;;;;;;;
"5000027122021";"500002712";"2021";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"5000027122022";"500002712";"2022";1;;;;;;;;;;;1;;2;;1;1;1;;;;;;;1;
"5000027122023";"500002712";"2023";;;;;;;;;;;;;;2;;;;;;;1;;;;2;
"5000027202022";"500002720";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000027202023";"500002720";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000027462022";"500002746";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"5000027532021";"500002753";"2021";;;;;;;;;;;;;;2;;1;;;;2;;;;;;
"5000027532022";"500002753";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000027792021";"500002779";"2021";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"5000027792023";"500002779";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000027952023";"500002795";"2023";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"5000028032021";"500002803";"2021";;;;;;;;;;;;;;2;;1;1;;;;;;;;;
"5000028032022";"500002803";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"5000028112022";"500002811";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000028112023";"500002811";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000028292021";"500002829";"2021";;;;;;;;;;;;;;2;1;1;;;;;;;;;;
"5000028292022";"500002829";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"5000028292023";"500002829";"2023";;;;;;;;;;;;;;3;;;;;;2;;;;;;
"5000028522021";"500002852";"2021";;;;;;;;;;;;;;1;;;;1;;;;;;;;
"5000028522022";"500002852";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000028522023";"500002852";"2023";1;;1;;;;;;;;;;;2;;1;;;;;;;;;1;
"5000028782023";"500002878";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000028942023";"500002894";"2023";3;;;;;;;;;;;;;;;;;;;;;;;;;
"5000029102023";"500002910";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"5000030172021";"500003017";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"5000030582021";"500003058";"2021";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"5000031322021";"500003132";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"5000031322023";"500003132";"2023";3;1;;;;;;;;;;;;;;;;;;;;;;;;
"500003482023";"50000348";"2023";2;;;;;;2;;;;;;;1;;;;;;1;;;;;;
"5000041142021";"500004114";"2021";;;;;;;;;;;;;;2;;2;;;;;;;;;;
"5000041222021";"500004122";"2021";;;;;;;;;;;;;;2;;;1;1;;;;;;;;1
"5000041222022";"500004122";"2022";;;;;;;;;;;;;;1;1;;;;;;;1;;;;
"5000041222023";"500004122";"2023";3;1;1;;1;;;;;;;;;;;;;;;;;;;;;
"5000041892022";"500004189";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"5000041972021";"500004197";"2021";;;;;;;;;;;;;;2;;;;1;;;1;;;;;
"5000042212021";"500004221";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"5000042702021";"500004270";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"5000042702022";"500004270";"2022";;;;;;;;;;;;;;4;;;;;;3;;;;;1;
"5000043462021";"500004346";"2021";;;;;;;;;;;;;;2;;2;1;;;;;;;;;1
"5000045362022";"500004536";"2022";;;;;;;;;;;;;;1;1;1;;;;;;;;;;
"5000045362024";"500004536";"2024";1;;;;;;;;;;;;;;;;;;;;;;;;;
"5000045852022";"500004585";"2022";;;;;;;;;;;;;;3;;1;;;;2;1;;;;;
"5000046192021";"500004619";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
